slice_type,slice_value,rows,mean,p50,p90,p95,p99,max,coverage_at_128,truncation_rate_at_128,coverage_at_256,truncation_rate_at_256
overall,all,33000,73.0202,37.0,156.0,250.0,621.0099999999984,7145,0.87197,0.12803,0.951697,0.048303
sentiment_label,negative,10764,68.5719,37.0,147.0,226.85000000000036,540.4800000000032,1848,0.878484,0.121516,0.960052,0.039948
sentiment_label,neutral,10275,91.2334,44.0,197.0,317.2999999999993,769.2600000000002,7145,0.832019,0.167981,0.929051,0.070949
sentiment_label,positive,11961,61.3775,31.0,128.0,213.0,533.1999999999989,2189,0.900426,0.099574,0.963632,0.036368
source_category,All_Beauty,15429,48.0344,31.0,100.0,144.0,286.0,1654,0.936742,0.063258,0.986195,0.013805
source_category,Video_Games,17571,94.9601,44.0,216.0,343.0,810.0,7145,0.815093,0.184907,0.921405,0.078595
category_and_label,All_Beauty|negative,5118,45.5588,30.0,93.0,136.14999999999964,263.3199999999997,755,0.942946,0.057054,0.989644,0.010356
category_and_label,All_Beauty|neutral,5040,52.3063,34.0,107.0,152.0,301.04999999999836,1654,0.92877,0.07123,0.983532,0.016468
category_and_label,All_Beauty|positive,5271,46.3534,28.0,98.0,146.0,293.60000000000036,890,0.938342,0.061658,0.985392,0.014608
category_and_label,Video_Games|negative,5646,89.4329,47.0,197.0,305.75,691.7500000000009,1848,0.82005,0.17995,0.933227,0.066773
category_and_label,Video_Games|neutral,5235,128.7104,59.0,290.0,468.0,1107.3199999999997,7145,0.738873,0.261127,0.8766,0.1234
category_and_label,Video_Games|positive,6690,73.2148,33.0,160.0,270.09999999999854,659.4399999999987,2189,0.870553,0.129447,0.946487,0.053513
